,Site Number,Site Name,Year,Average Daily Volume,Latitude,Longitude
49484,102806,112 Avenue West of  85 Street,2020,15400.0,53.561076,-113.4725691
49485,331913,136 Street North of Stony Plain Road,2018,1000.0,53.5454434,-113.5563319
49486,112955,Airport Road W North of Kingsway,2018,3300.0,53.5687993,-113.5260608
49487,235966,76 Avenue West of 150 Street,2019,1100.0,53.5089413,-113.5802629
49488,303576,Webber Greens Drive West of Suder Greens Drive,2018,10900.0,53.5272444,-113.6761575
49489,434365,50 Street North of 146 Avenue,2021,17200.0,53.6103241,-113.4174857
49490,223216,Whitemud Drive West of Gateway Boulevard,2019,57900.0,53.4805166,-113.493964
49491,532515,34 Street North of  76 Avenue,2019,12000.0,53.5130432,-113.3938965
49492,331297,132 Street North of 155 Avenue,2022,2900.0,53.6173183,-113.5490205
49493,201011,Chappelle Boulevard SW North of Chalmers Way SW,2019,2400.0,53.406381,-113.574007
49494,227710,55 Avenue West  of 105A Street,2020,500.0,53.4922943,-113.5024896
49495,111947,102 Street North of Jasper Avenue,2022,4400.0,53.5419806,-113.4955648
49496,527036,Fulton Road West of  50 Street,2021,2000.0,53.5474525,-113.419644
49497,234280,72 Avenue  West of 113 Street,2021,12100.0,53.5083423,-113.5238125
49498,101788,107 Avenue West of 115 Street,2020,14800.0,53.5514118,-113.5203501
49499,335501,163 Street North of  88 Avenue,2020,6800.0,53.5230583,-113.602656
49500,235792,76 Avenue West of 107 Street,2022,9200.0,53.5122945,-113.5079305
49501,441309,97 Street North of 176 Avenue,2019,28300.0,53.640603,-113.491895
49502,238090,83 Avenue West of 109 Street,2020,1200.0,53.5191018,-113.5132814
49503,236328,Lapotec Boulevard West of 215 Street,2019,6600.0,53.5103479,-113.6903399
49504,308680,Stony Plain Road West of 171 Street,2021,20100.0,53.5413713,-113.6207683
49505,518744,Coronet Road West of  77 Street,2021,1300.0,53.5051385,-113.4466237
49506,251549,106 Street North of  65 Avenue,2021,4500.0,53.5023143,-113.5044231
49507,230554,62 Avenue West of 199 Street,2019,17100.0,53.4939154,-113.6679467
49508,524624,93A Avenue West of  58 Street,2019,600.0,53.5304198,-113.4261821
49509,441529,100 Street North of Castle Downs Road,2019,6500.0,53.629561,-113.498427
49510,315004,118 Avenue West of 154 Street,2021,14300.0,53.57042,-113.588006
49511,266381,Ormsby Road West North of Ormsby Lane South,2020,800.0,53.4992064,-113.6532338
49512,440333,91 Street North of 166 Avenue,2020,3100.0,53.6284233,-113.4815354
49513,535700,57 Street North of  90 Avenue South Service Road,2019,1700.0,53.5230102,-113.4229176
49514,111727,97 Street North of 114 Avenue,2022,24700.0,53.56505,-113.4917696
49515,211660,19 Avenue West of 105 Street,2022,2900.0,53.4478632,-113.5027144
49516,315884,Sherbrooke Avenue West of 129 Street,2018,1400.0,53.5782192,-113.5459897
49517,253313,111 Street North of   9 Avenue,2021,25700.0,53.4406749,-113.5181827
49518,336117,170 Street North of 110 Avenue,2019,33900.0,53.5584745,-113.6153274
49519,112093,105 Street North of 100 Avenue,2022,11500.0,53.5402009,-113.5010237
49520,414284,153 Avenue West of  37 Street,2019,18700.0,53.61415,-113.4015
49521,522316,83 Avenue West of  98 Street,2019,500.0,53.5190429,-113.4843862
49522,300073,124 Street North of 124 Avenue,2021,1300.0,53.5795007,-113.5359083
49523,111907,101 Street North of 113 Avenue,2022,9200.0,53.5633728,-113.4937122
49524,111559,95 Street North of 114 Avenue,2019,12300.0,53.5650927,-113.4871381
49525,102094,109 Avenue West of 114 Street,2021,1100.0,53.5545907,-113.5184885
49526,336493,178 Street North of  81 Avenue,2018,26800.0,53.5160485,-113.6302832
49527,111359,92 Street North of 105A Avenue,2021,1900.0,53.551727,-113.4773265
49528,102758,112 Avenue West of  68 Street,2022,16200.0,53.5636826,-113.4428196
49529,444649,125 Street North of 167 Avenue,2019,2600.0,53.6292393,-113.5381207
49530,251483,106 Street North of  51 Avenue,2020,6500.0,53.4886292,-113.5043781
49531,112211,107 Street North of 109 Avenue,2022,500.0,53.5556485,-113.5047379
49532,102822,112 Avenue West of  88 Street,2019,14000.0,53.561124,-113.4773715
49533,501880,Winspear Common SW West of Winspear Crescent SW,2021,1500.0,53.4145683,-113.4424688
49534,250289,Calgary Trail North of G.A. MacDonald Avenue,2020,37700.0,53.4765025,-113.4956907
49535,237928,82 Avenue West of 106 Street,2022,25800.0,53.5181019,-113.5050796
49536,332441,139 Street North of 117 Avenue,2022,1500.0,53.5699155,-113.5613591
49537,311104,107 Avenue West of 127 Street,2019,24200.0,53.550963,-113.5422306
49538,102766,112 Avenue West of  70 Street,2020,13300.0,53.5631645,-113.4450769
49539,252791,109 Street North of University Avenue S,2022,31000.0,53.5141662,-113.5120404
49540,338101,213 Street North of 100 Avenue,2020,7400.0,53.540062,-113.6859422
49541,251405,106 Street North of  31 Avenue,2020,7800.0,53.4644099,-113.5033979
49542,530435,12 Street North of  36A Avenue,2019,1900.0,53.471653,-113.3597582
49543,104434,118 Avenue West of  95 Street,2021,13300.0,53.5704389,-113.4879925
49544,220990,40 Avenue West of 111 Street,2022,6800.0,53.4757906,-113.5192619
49545,338969,231 Street North of Helenslea Drive,2018,600.0,53.5837185,-113.7136503
49546,443581,115 Street North of 171 Avenue,2022,3400.0,53.6341561,-113.5228862
49547,541407,97 Street North of  74 Avenue,2021,800.0,53.5108292,-113.4797907
49548,433581,37 Street North of 138 Avenue,2020,300.0,53.6007779,-113.3975567
49549,301436,84 Avenue West of 149 Street,2022,1300.0,53.5169041,-113.5780955
49550,318808,153 Avenue West of 139 Street,2018,6900.0,53.61465,-113.563
49551,408476,139 Avenue West of 114 Street,2021,4300.0,53.6018292,-113.5202512
49552,256771,Groat Road North of  87 Avenue,2022,13000.0,53.525612,-113.541631
49553,536735,66 Street SW North of   6 Avenue SW,2019,11500.0,53.4291026,-113.4427566
49554,263531,170 Street North of Anderson Way,2022,12700.0,53.4296223,-113.6146799
49555,250157,Gateway Boulevard North of  80 Avenue,2018,21600.0,53.5166688,-113.4946834
49556,102572,111 Avenue West of  95A Street,2021,17500.0,53.5594147,-113.4889907
49557,330269,126 Street North of 117 Avenue,2021,700.0,53.5696698,-113.5394966
49558,251081,105 Street North of  66 Avenue,2019,1300.0,53.5028867,-113.5003042
49559,532184,32A Street North of 13 Avenue,2019,1900.0,53.4402068,-113.38857
49560,100132,96 Avenue West of 105 Street,2021,1700.0,53.5325045,-113.5021028
49561,541343,97 Street North of  54 Avenue,2021,8300.0,53.4904805,-113.479422
49562,204676,Ellerslie Road SW West of 103A Street SW,2019,23400.0,53.4247996,-113.4993239
49563,101230,104 Avenue West of  36 Street,2020,500.0,53.5578815,-113.3980334
49564,501880,Winspear Common SW West of Winspear Crescent SW,2019,1600.0,53.4145683,-113.4424688
49565,316184,124 Avenue S West of 141 Street,2020,1100.0,53.5783153,-113.5652352
49566,531975,31 Street North of  37A Avenue,2021,3000.0,53.4729056,-113.3873764
49567,521408,79 Street North of  81 Avenue,2021,700.0,53.5174655,-113.4490249
49568,208060,Anthony Henday Drive WB On-Ramp West of 111 Street,2021,8000.0,53.4354303,-113.5211235
49569,263615,170 Street North of  69 Avenue,2021,32900.0,53.50823,-113.6154983
49570,525136,95 Avenue West of  79 Street,2022,2600.0,53.533047,-113.449441
49571,101054,103 Avenue West of  96 Street,2021,1300.0,53.5461274,-113.4849708
49572,255725,117 Street north of  87 Avenue,2019,700.0,53.5238977,-113.5324819
49573,251021,105 Street North of  55 Avenue,2021,1900.0,53.492824,-113.5002772
49574,226138,51 Avenue West of 111 Street,2019,8100.0,53.4882332,-113.5180208
49575,406360,135 Avenue West of  96 Street,2021,6500.0,53.596793,-113.49089
49576,330873,Wellington Crescent South of 102 Avenue,2021,700.0,53.5424134,-113.5457379
49577,262075,Riverbend Road North of Henderson Street,2021,7500.0,53.471376,-113.594995
49578,504720,Ellerslie Road SW West of  75 Street SW,2020,21300.0,53.4249229,-113.4530718
49579,534807,50 Street North of  31 Avenue,2021,27200.0,53.463356,-113.420809
49580,541871,100 Street North of 72 Avenue,2019,500.0,53.5100751,-113.4887119
49581,334821,156 Street North of 110 Avenue,2019,16800.0,53.5571336,-113.5903803
49582,512560,33 Avenue West of  26 Street,2020,1700.0,53.463141,-113.3813509
49583,409904,144 Avenue West of  51 Street,2018,4800.0,53.6069,-113.421129
49584,207232,Windermere Boulevard SW West of 156 Street SW,2019,18000.0,53.434498,-113.5970442
49585,301266,83 Avenue East of 159 Street West Service Road,2018,2500.0,53.516856,-113.5968014
49586,102870,112 Avenue West of 102 Street,2022,1300.0,53.5610279,-113.496536
49587,335513,163 Street North of  93 Avenue,2022,8500.0,53.5301899,-113.6025481
49588,101262,104 Avenue West of 101 Street,2022,23800.0,53.5461648,-113.4946025
49589,204760,Ellerslie Road SW West of Rabbit Hill Rd SW,2022,8900.0,53.4249443,-113.592053
49590,302664,88 Avenue West of 160 Street,2022,800.0,53.5224862,-113.6004257
49591,420392,Castle Downs Road West of  97 Street,2020,19000.0,53.6288767,-113.4944047
49592,517792,Whitemud Drive West of  34 Street,2022,58600.0,53.4877088,-113.4050211
49593,237868,University Avenue West of 119 Street,2018,12800.0,53.5181393,-113.5354767
49594,521888,Sherwood Park Freeway WB On-Ramp West of  17 Street,2022,3000.0,53.5180644,-113.3726725
49595,335081,159 Street North of  83 Avenue,2018,20000.0,53.518127,-113.596698
49596,230554,62 Avenue West of 199 Street,2021,15700.0,53.4939154,-113.6679467
49597,436281,McConachie Boulevard North of 167 Avenue,2022,4200.0,53.62933,-113.4393212
49598,538211,Mill Woods Road North of  29 Avenue,2021,8000.0,53.4607316,-113.4485393
49599,203096,Callaghan Drive SW East of James Mowatt Trail SW,2022,2300.0,53.4136249,-113.5224545
49600,518120,51 Avenue West of  97A Street,2021,15600.0,53.4881369,-113.4841524
49601,530565,Tamarack Way North of Maple Road,2022,6600.0,53.4771234,-113.3642189
49602,262733,Rabbit Hill Road South of Promontory Point,2019,2800.0,53.476176,-113.6017207
49603,420392,Castle Downs Road West of  97 Street,2022,21300.0,53.6288767,-113.4944047
49604,435389,58 Street North of 128 Avenue,2020,1600.0,53.5869697,-113.4306158
49605,541283,Parsons Road North of  29A Avenue,2022,16300.0,53.462095,-113.486049
49606,433425,Fort Road North of 153 Avenue,2020,1000.0,53.617617,-113.3872775
49607,263525,170 Street SW North of Ellerslie Road SW,2020,9100.0,53.4270717,-113.614617
49608,438977,82 Street North of 149A Avenue,2021,27900.0,53.6129757,-113.46747
49609,319412,162 Avenue West of 141 Street,2018,2300.0,53.6232179,-113.5651363
49610,511344,28 Avenue West of Youville Drive West,2019,9400.0,53.4584988,-113.430328
49611,334825,156 Street North of 111 Avenue,2022,19000.0,53.5601892,-113.5903982
49612,252365,108 Street North of  76 Avenue,2021,1300.0,53.5126849,-113.5093064
49613,440341,91 Street North of 168 Avenue,2021,6500.0,53.6319271,-113.4811037
49614,319516,167 Avenue West of 138 Street,2020,7300.0,53.628754,-113.5626542
49615,517736,Whitemud Drive West of Anthony Henday Drive East,2020,41300.0,53.4829944,-113.358724
49616,535683,57 Street North of  22 Avenue,2019,6800.0,53.4532295,-113.427657
49617,541339,97 Street North of 51 Avenue,2018,9100.0,53.488886,-113.479377
49618,338097,215 Street North of 103 Avenue,2021,9400.0,53.5454327,-113.6885862
49619,526600,103 Avenue West of  48 Street,2021,900.0,53.5446953,-113.4177735
49620,238222,84 Avenue West of 108 Street,2020,1000.0,53.5200482,-113.5107363
49621,230086,61 Avenue West of 111 Street,2020,23200.0,53.4982542,-113.5184885
49622,111017,82 Street North of 118 Avenue,2022,23300.0,53.5712933,-113.4673171
49623,111969,102 Street North of 114 Avenue,2022,800.0,53.5650286,-113.4955468
49624,404248,132 Avenue West of  65 Street,2020,4700.0,53.5922437,-113.4418843
49625,313504,111 Avenue West of 174 Street,2021,7400.0,53.559591,-113.6244645
49626,539235,83 Street North of Argyll Road,2019,16000.0,53.504026,-113.4539712
49627,526012,Baseline Road West of  17 Street,2020,26000.0,53.5412217,-113.3834464
49628,100242,98 Avenue West of  96A Street,2022,24400.0,53.5378547,-113.4768769
49629,401328,127 Avenue West of  91 Street,2020,6700.0,53.584774,-113.482097
49630,332941,142 Street North of 103 Avenue North,2021,12900.0,53.5450693,-113.5657119
49631,407356,137 Avenue West of  34 Street,2022,18800.0,53.599366,-113.394847
49632,308940,102 Avenue West of Connaught Drive,2019,17400.0,53.5430333,-113.543031
49633,400384,Yellowhead Trail West of  68 Street,2022,54300.0,53.5784114,-113.4482425
49634,532447,34 Street North of  18 Avenue,2022,13400.0,53.452527,-113.39372
49635,338122,215 Street North of Rosenthal Boulevard,2020,12200.0,53.5199305,-113.6889549
49636,337745,Suder Greens Drive North of 88 Avenue,2021,7800.0,53.5233738,-113.674179
49637,430961,Meridian Street North of 167 Avenue,2021,900.0,53.6308712,-113.3443528
49638,509212,19 Avenue West of Parsons Road,2022,6600.0,53.4479543,-113.4824886
49639,338153,215 Street North of 107 Avenue,2019,8800.0,53.5523414,-113.6890089
49640,333973,149 Street North of 128 Avenue,2020,6300.0,53.5892972,-113.5776009
49641,400544,21 Street NE North of 119 Avenue NE,2020,1000.0,53.5734561,-113.3144954
49642,102030,109 Avenue West of  73 Street,2019,400.0,53.5600717,-113.4487101
49643,111693,97 Street North of 103 Avenue,2021,10600.0,53.546156,-113.487081
49644,513692,Tamarack Green West of  12 Street,2020,800.0,53.4702559,-113.3603967
49645,213412,23 Avenue West of Saddleback Road,2019,26300.0,53.4539043,-113.5281742
49646,213412,23 Avenue West of Saddleback Road,2018,25500.0,53.4539043,-113.5281742
49647,307004,97A Avenue West of 185 Street,2021,2500.0,53.5338247,-113.6432334
49648,301438,84 Avenue West of 149 Street West Service Road,2020,700.0,53.5168987,-113.5796424
49649,239271,Saskatchewan Drive East of 116 Street,2020,4200.0,53.5300883,-113.5273108
49650,101606,106 Avenue West of 109 Street,2019,4600.0,53.5498249,-113.5093963
49651,521004,76 Avenue West of  96 Street,2019,6600.0,53.5122945,-113.4781719
49652,517718,Whitemud Drive East of Anthony Henday Drive E,2021,26300.0,53.4829676,-113.3316724
49653,260303,Towne Center Boulevard North of Terwillegar Boulevard,2019,3900.0,53.4455976,-113.5778257
49654,261329,Tomlinson Common North of Toane Wynd,2018,2700.0,53.4489612,-113.5873765
49655,238420,85 Avenue West of 110 Street,2019,1700.0,53.5209892,-113.5166089
49656,534275,48 Street North of  93 Avenue,2022,1200.0,53.5312109,-113.4109836
49657,403902,Clareview Road West of  28 Street,2018,2300.0,53.5893986,-113.3849932
49658,264305,Washburn Drive SW North of Watcher Way SW,2018,2700.0,53.4353767,-113.6241048
49659,517532,Kirkwood Avenue West of Kirkwood Way,2018,900.0,53.4836098,-113.3990046
49660,103188,113 Avenue West of  93 Street,2021,400.0,53.5627318,-113.4849168
49661,264293,Washburn Drive SW North of Wates Link SW,2019,1400.0,53.4338,-113.624215
49662,234798,Guardian Road West of Graham Gate,2020,8500.0,53.5075294,-113.6686122
49663,336905,184 Street North of 100 Avenue,2019,8700.0,53.5393191,-113.639825
49664,105698,122 Avenue West of  64 Street,2018,700.0,53.5767401,-113.4406252
49665,112213,107 Street North of 110 Avenue,2019,600.0,53.5577426,-113.5047379
49666,301340,83 Avenue West of 167 Street,2022,1300.0,53.516503,-113.6104441
49667,102632,111 Avenue West of 117 Street,2021,21900.0,53.5589392,-113.5261687
49668,414180,153 Avenue West of Meridian Street,2021,1700.0,53.6140427,-113.3569613
49669,408532,Manning Drive West of  50 Street,2022,24200.0,53.6013916,-113.4181692
49670,426740,195 Avenue West of  50 Street,2020,1400.0,53.657813,-113.419396
49671,110171,Ada Boulevard North of 106 Avenue,2019,200.0,53.5608089,-113.4026649
49672,519314,66 Avenue West of Oak Wood Road,2021,1700.0,53.5030578,-113.3685806
49673,308208,100 Avenue West of 178 Street,2021,24000.0,53.537812,-113.630368
49674,435005,55 Street North of 165 Avenue,2019,2300.0,53.6280127,-113.4183041
49675,520824,76 Avenue West of  50 Street,2021,4500.0,53.512487,-113.4195092
49676,415856,Brintnell Boulevard West of  47 Street,2022,1200.0,53.619228,-113.4134117
49677,261585,Rabbit Hill Road SW North of Ellerslie Road SW,2022,20000.0,53.4269753,-113.5877992
49678,510232,23 Avenue West of  47 Street,2020,21100.0,53.4551199,-113.4165864
49679,400008,106 Avenue West of Wayne Gretzky Drive SB,2021,13100.0,53.5493814,-113.4416864
49680,223566,Whitemud Drive West of 156 Street,2022,73700.0,53.5120057,-113.5917382
49681,436657,66 Street North of 144 Avenue,2019,18100.0,53.6072668,-113.4428016
49682,226030,51 Avenue West of Allard Way,2021,17800.0,53.4882011,-113.4983257
49683,260950,Whitemud Road South of  43 Avenue,2022,500.0,53.4818385,-113.586702
49684,308284,100 Avenue West of 210 Street,2020,1000.0,53.5395703,-113.6842245
49685,336145,170 Street North of 129 Avenue,2018,13200.0,53.5942347,-113.6151835
49686,526148,101 Avenue West of  76 Street,2020,5600.0,53.541211,-113.4453826
49687,510216,23 Avenue West of  38 Street,2021,17700.0,53.4542256,-113.4008302
49688,434101,Miller Boulevard North of 151 Avenue,2020,1900.0,53.6133332,-113.4110285
49689,539497,85 Street South of  23 Avenue,2019,6500.0,53.451398,-113.4599606
49690,330561,128 Street North of 122 Avenue,2018,400.0,53.5775251,-113.5428781
49691,252773,109 Street North of  75 Avenue,2021,31600.0,53.5120325,-113.5120404
49692,100196,97 Avenue West of Rossdale Road,2020,33100.0,53.5340973,-113.4981278
49693,315396,121 Avenue West of 123 Street,2019,500.0,53.5751222,-113.5349551
49694,305816,95 Avenue West of 176 Street,2022,11800.0,53.5288268,-113.6277381
49695,500092,41 Avenue SW West of  34 Street SW,2021,700.0,53.3959109,-113.4087353
49696,519476,67 Avenue West of  50 Street,2021,2400.0,53.5022769,-113.4221082
49697,337201,189 Street North of  95A Avenue,2018,2100.0,53.5308527,-113.649061
49698,101310,104 Avenue West of 114 Street,2020,26800.0,53.5462663,-113.5196936
49699,258593,Omand Drive North of Ogilvie Boulevard,2018,800.0,53.4650845,-113.5637693
49700,101394,105 Avenue West of 101 Street,2021,1400.0,53.5477838,-113.4945575
49701,259427,Tory Road North of Terwillegar Boulevard,2019,600.0,53.4455922,-113.5694261
49702,530683,17 Street SW North of  28 Avenue SW,2020,700.0,53.416112,-113.3690032
49703,525930,Terrrace Road North of  98 Avenue,2022,16600.0,53.5396665,-113.4268206
49704,534879,50 Street North of  76 Avenue,2019,35200.0,53.5132839,-113.41843
49705,524528,Connors Road West of  89 Street,2021,16400.0,53.5281692,-113.4641964
49706,268103,204 Street North of  50 Avenue,2021,2800.0,53.4868313,-113.6730549
49707,537519,71 Street North of  79 Avenue,2020,2200.0,53.5156582,-113.4367851
49708,269387,215 Street North of  62 Avenue,2018,2900.0,53.5005063,-113.6889099
49709,541343,97 Street North of  54 Avenue,2022,8700.0,53.4904805,-113.479422
49710,253367,111 Street North of  40 Avenue,2020,22800.0,53.4772411,-113.516546
49711,102990,Kingsway West of 117 Street,2020,26300.0,53.5667431,-113.5224185
49712,407484,137 Avenue West of  74 Street,2018,23800.0,53.5996892,-113.4587735
49713,523512,89 Avenue West of 99 Street,2018,600.0,53.5244751,-113.4873
49714,335221,160 Street North of  89A Avenue,2020,600.0,53.5253733,-113.5949038
49715,331421,St Albert Trail North of 118 Avenue,2018,36900.0,53.5721211,-113.5502885
49716,269183,215 Street SW North of  25 Avenue SW,2020,1700.0,53.415308,-113.6891797
49717,331909,136 Street North of 102 Avenue,2018,500.0,53.5437868,-113.556314
49718,310100,Stony Plain Road West of 124 Street,2022,21300.0,53.546977,-113.5365289
49719,539141,82 Street North of  98 Avenue South Service Road,2022,600.0,53.5374646,-113.4533686
49720,110063,34 Street North of 114 Avenue,2020,3300.0,53.567237,-113.393709
49721,223198,Whitemud Drive CD WB West of Gateway Boulevard,2019,15500.0,53.4810892,-113.493991
49722,409832,144 Avenue West of  23 Street,2021,3700.0,53.6081152,-113.3810092
49723,517336,44 Avenue West of  49 Street,2022,9500.0,53.4819134,-113.4169731
49724,414340,153 Avenue West of  66 Street,2018,20800.0,53.6158512,-113.4483054
49725,216604,31 Avenue West of 106 Street,2019,900.0,53.4629643,-113.5050796
49726,336569,178 Street North of 106A Avenue,2018,15800.0,53.552491,-113.6273604
49727,507948,13 Avenue West of Parsons Road,2021,7100.0,53.4413017,-113.4857622
49728,233530,70 Avenue West of 107 Street,2022,800.0,53.506572,-113.5077686
49729,317924,137 Avenue West of 131 Avenue,2022,31200.0,53.5994971,-113.5488676
49730,233518,70 Avenue N West of 106 Street,2019,900.0,53.5065666,-113.5049177
49731,310764,106 Avenue West of 154 Street,2020,300.0,53.549515,-113.5877183
49732,520180,Argyll Road West of  72 Street,2021,17800.0,53.5095938,-113.4401935
49733,308176,100 Avenue West of 169 Street,2021,17000.0,53.5392817,-113.6134568
49734,444537,124 Street North of 133 Avenue,2020,1100.0,53.5936475,-113.5366098
49735,226564,52 Avenue West of 109 Street,2020,1600.0,53.4895441,-113.5129577
49736,112255,109 Street North of Jasper Avenue,2021,27200.0,53.5419057,-113.5084341
49737,336539,178 Street North of  99 Avenue,2020,27200.0,53.5373737,-113.6273963
49738,539007,81 Street North of 86 Avenue,2020,400.0,53.5228658,-113.4520826
49739,400736,125A Avenue West of  89 Street,2020,1500.0,53.5815136,-113.4838466
49740,335533,163 Street North of  99 Avenue,2018,9400.0,53.538651,-113.602707
49741,210082,12 Avenue West of 113 Street,2022,4400.0,53.4430962,-113.5252154
49742,231724,65 Avenue West of 111 Street,2021,900.0,53.5020148,-113.5174453
49743,334873,156 Street North of 135 Avenue,2019,20200.0,53.597325,-113.5902454
49744,111539,95 Street North of 107A Avenue,2019,11100.0,53.5543396,-113.4838017
49745,335709,165 Street North of  89 Avenue,2018,3700.0,53.524549,-113.607335
49746,253031,110 Street North of  57 Avenue,2021,400.0,53.4947982,-113.5150711
49747,337337,Anthony Henday Drive West North of Stony Plain Road,2018,90300.0,53.5487242,-113.6590075
49748,104294,118 Avenue West of  65 Street,2022,12500.0,53.5703694,-113.442226
49749,516488,41 Avenue West of  95 Street,2019,2400.0,53.4765186,-113.4771647
49750,534427,48 Street North of  32 Avenue,2020,2900.0,53.4640405,-113.4156421
49751,110135,38 Street North of 107 Avenue,2022,1200.0,53.5610599,-113.4001108
49752,220942,40 Avenue West of 106 Street,2021,4500.0,53.475705,-113.5079125
49753,530747,17 Street North of  38 Avenue,2019,18800.0,53.4785203,-113.3687335
49754,237802,81 Avenue West of 110 Street,2020,500.0,53.5171019,-113.516456
49755,542087,102 Street North of  82 Avenue,2021,2300.0,53.5186152,-113.4938651
49756,532527,34 Street North of  84 Avenue,2021,8300.0,53.520597,-113.393899
49757,110235,42 Street North of 116 Avenue,2018,800.0,53.5689916,-113.4060643
49758,334905,Meadowlark Road North of 89 Avenue,2019,10200.0,53.5231225,-113.5927095
49759,308782,Stony Plain Road Service Road West of 218 Street,2019,2600.0,53.5416172,-113.6972556
49760,442245,Beaumaris Road North of 153 Avenue,2019,7400.0,53.6144268,-113.5022467
49761,223678,Whitemud Drive West of 170 Street,2018,39000.0,53.5122036,-113.6233854
49762,412104,149A Avenue West of  82 Street,2019,3000.0,53.6105322,-113.4680545
49763,336929,184 Street North of 111 Avenue,2020,12700.0,53.5602266,-113.6395911
49764,104422,118 Avenue West of  92 Street,2020,12500.0,53.5704175,-113.4835049
49765,253145,110 Street North of  88 Avenue,2021,3200.0,53.5243094,-113.5149811
49766,513516,Woodvale Road East West of Hill View Crescent,2018,1300.0,53.46744,-113.4271624
49767,265547,184 Street North of  73 Avenue,2021,1900.0,53.5073742,-113.642424
49768,111691,97 Street North of 102A Avenue,2020,9600.0,53.5454327,-113.4867964
49769,315884,Sherbrooke Avenue West of 129 Street,2019,1500.0,53.5782192,-113.5459897
49770,541747,99 Street North of  65 Avenue,2019,29700.0,53.502216,-113.48624
49771,401084,127 Avenue East of  47 Street,2022,1900.0,53.5850425,-113.4127552
49772,260757,Carter Crest Road South of Carse Lane,2020,1100.0,53.4649399,-113.5818817
49773,255239,115 Street North of 78 Street,2022,1200.0,53.5145673,-113.5288127
49774,265235,184 Street SW North of  41 Avenue SW,2020,200.0,53.396236,-113.63933
49775,405124,133A Avenue West of  22 Street,2022,800.0,53.5948485,-113.3782213
49776,110751,68 Street North of 112 Avenue,2019,800.0,53.5643075,-113.4424329
49777,524528,Connors Road West of  89 Street,2018,17300.0,53.5281692,-113.4641964
49778,518876,63 Avenue West of  99 Street,2019,27600.0,53.4998911,-113.4879205
49779,100215,98 Avenue West of  85 Street,2021,23200.0,53.5383411,-113.462146
49780,332445,139 Street North of 118 Avenue,2018,2500.0,53.5708714,-113.5613861
49781,312996,110 Avenue West of 155 Street,2021,1300.0,53.5559637,-113.5896248
49782,338909,231 Street North of 118A Avenue,2019,2200.0,53.5712506,-113.7135154
49783,207244,Windermere Boulevard SW West of Currents Drive East SW,2022,7500.0,53.4343266,-113.6012261
49784,600025,Walterdale Bridge,2022,27800.0,53.5287198,-113.5021928
49785,303200,89A Avenue West of 140 Street,2019,600.0,53.522235,-113.5635895
49786,103624,115 Avenue West of  84 Street,2019,9200.0,53.5658084,-113.4712921
49787,112141,106 Street North of  99 Avenue,2022,3800.0,53.5380418,-113.5030022
49788,420240,167 Avenue West of  50 Street,2020,10600.0,53.6286793,-113.4127822
49789,315420,121 Avenue West of 126 Street,2022,1000.0,53.5751169,-113.540342
49790,261923,Riverbend Road North of Rabbit Hill Road,2018,10700.0,53.4732856,-113.5925746
49791,235782,76 Avenue West of 106 Street,2021,8600.0,53.5122678,-113.5052235
49792,112623,114 Street North of 100 Avenue,2021,1700.0,53.5400353,-113.5176161
49793,312084,108 Avenue West of 151 Street,2020,400.0,53.5526139,-113.5824842
49794,444785,127 Street North of 153 Avenue,2021,22500.0,53.6180811,-113.5412053
49795,308776,Stony Plain Road West of 215 Street,2018,36600.0,53.5413125,-113.6964552
49796,302484,Suder Greens Drive West of 213 Street,2022,2400.0,53.520426,-113.687086
49797,334888,Campbell Road North of Anthony Henday Drive WB,2020,18400.0,53.6308765,-113.5780146
49798,315956,Dovercourt Avenue West of 134 Street,2020,1400.0,53.576313,-113.5566737
49799,404248,132 Avenue West of  65 Street,2018,5300.0,53.5922437,-113.4418843
49800,540877,94 Street North of 23 Avenue,2018,5900.0,53.452212,-113.4729738
49801,102030,109 Avenue West of  73 Street,2022,600.0,53.5600717,-113.4487101
49802,100684,Jasper Avenue West of 100 Street,2019,20300.0,53.5410988,-113.4912121
49803,521884,Sherwood Park Freeway West of  17 Street,2021,39700.0,53.517396,-113.3829787
49804,330129,125 Street North of 109 Avenue,2022,800.0,53.5532283,-113.537698
49805,229732,Wanyandi Road West of Whiston Road,2021,2500.0,53.4968579,-113.6094908
49806,264293,Washburn Drive SW North of Wates Link SW,2020,1200.0,53.4338,-113.624215
49807,251459,106 Street North of Whitemud Drive,2022,10200.0,53.4827215,-113.5043242
49808,313488,111 Avenue West of 166A Street,2019,5500.0,53.5595696,-113.6101114
49809,300102,Buena Vista Road East of Zoo Servce Entrance,2021,2300.0,53.512963,-113.5529955
49810,313404,111 Avenue West of 146 Street,2020,24700.0,53.5589499,-113.5756674
49811,263195,Armitage Crescent West SW North of Armitage Wynd SW,2022,1200.0,53.4322,-113.61057
49812,314972,118 Avenue West of 145 Street,2022,14800.0,53.5704282,-113.5736709
49813,439009,82 Street North of 180 Avenue,2019,10500.0,53.6499425,-113.4673261
49814,265295,Keswick Way SW North of Keswick Boulevard  N SW,2021,5000.0,53.4236314,-113.6401847
49815,331425,St Albert Trail North of 122 Avenue,2020,31200.0,53.5753732,-113.5530404
49816,262059,Riverbend Road North of Heath Road S,2018,6000.0,53.4623379,-113.5942473
